	sc_id	spot	exp_cor_before	interface_cor_before	mix_cor_before	exp_cor_after	interface_cor_after	mix_cor_after	celltype	UMAP1	UMAP2	st_x	st_y	spex_UMAP1	spex_UMAP2	indice	core1	core2	centering_scale_factor	adj_spex_UMAP1	adj_spex_UMAP2
0	Cell_116	spot_0	1.0	0	1.0	1.0	0	1.0	Endo	-2.3170621	105.03745	0.0	-4.0	-67.86016	16.171364	0	-67.86016082763672	16.171363830566406	0.0	0.0	-4.0
1	Cell_5	spot_1	0.6278438310400527	0	0.6278438310400527	0.8621461274375517	0	0.8621461274375517	Inhibitory	-1.9207817	105.160645	0.0	-3.0	-68.03585	16.44708	1	-68.01126861572266	16.508602142333984	6.657509013111874	-0.16365428192326706	-3.409580141483161
2	Cell_48	spot_1	0.6278438310400527	0	0.6278438310400527	0.8621461274375517	0	0.8621461274375517	Inhibitory	-2.0998015	105.223915	0.0	-3.0	-67.95741	16.560947	1	-68.01126861572266	16.508602142333984	0.0	0.0	-3.0
3	Cell_265	spot_1	0.6278438310400527	0	0.6278438310400527	0.8621461274375517	0	0.8621461274375517	Endo	-2.0675042	105.122375	0.0	-3.0	-68.0599	16.459124	1	-68.01126861572266	16.508602142333984	6.657509013111874	-0.3237530704465873	-3.32940376531436
4	Cell_115	spot_1	0.6278438310400527	0	0.6278438310400527	0.8621461274375517	0	0.8621461274375517	Endo	-2.0442533	105.27304	0.0	-3.0	-67.97377	16.53292	1	-68.01126861572266	16.508602142333984	0.0	0.0	-3.0
5	Cell_117	spot_1	0.6278438310400527	0	0.6278438310400527	0.8621461274375517	0	0.8621461274375517	Astro	-2.12917	105.18587	0.0	-3.0	-68.02941	16.542933	1	-68.01126861572266	16.508602142333984	6.657509013111874	-0.12078519007247954	-2.771445265336989
6	Cell_49	spot_2	0.8114896158577618	0	0.8114896158577618	0.9201951698873786	0	0.9201951698873786	Micro	-1.7415628	105.51547	0.0	-2.0	-68.17808	16.977505	12	-68.19558715820312	16.88701820373535	0.0	0.0	-2.0
7	Cell_43	spot_2	0.8114896158577618	0	0.8114896158577618	0.9201951698873786	0	0.9201951698873786	Endo	-1.8538997	105.43811	0.0	-2.0	-68.206474	16.882025	12	-68.19558715820312	16.88701820373535	5.42505115189299	-0.05906332392693555	-2.0270896604836577
8	Cell_47	spot_2	0.8114896158577618	0	0.8114896158577618	0.9201951698873786	0	0.9201951698873786	Astro	-1.8360006	105.38477	0.0	-2.0	-68.18048	16.858383	12	-68.19558715820312	16.88701820373535	5.42505115189299	0.0819519140682077	-2.155346475493182
9	Cell_44	spot_2	0.8114896158577618	0	0.8114896158577618	0.9201951698873786	0	0.9201951698873786	Astro	-1.7805469	105.56139	0.0	-2.0	-68.2173	16.830162	12	-68.19558715820312	16.88701820373535	5.42505115189299	-0.11779552900915106	-2.3084475513206066
